number,type,name_ja,related_mamodo_ja,related_partner_ja,cost,ad,class,attr_ja,effect_icon_ja,effect_ja,power,damage,flavor_ja,sets_ja,url,raw_header_lines
E-001,event,守る心,,,0,A,none,,,この効果は、次のターンのスタートフェイズまで【スタンバイ】し、次のターン中【ステイ】する。自分の魔物1体を選ぶ。次のターン中、その魔物の魔力を+3000する。,,,みんなを守れると思えば、どんどん力が湧いてくる･･････。,LEVEL:1,https://w.atwiki.jp/zatchbell/pages/349.html,イベント　MP0|自分のターン
E-002,event,ティーナ,,,2,A,none,,,【ステイ】次のターンのエンドフェイズまで、自分も相手も、術を使えない。,,,しおりがコルルのために作った人形。,LEVEL:1,https://w.atwiki.jp/zatchbell/pages/350.html,イベント　MP2|自分のターン
E-003,event,ブリ,,,0,A,none,,,自分のMPを2ふやす。,,,ガッシュの大好物。,LEVEL:1,https://w.atwiki.jp/zatchbell/pages/351.html,イベント　MP0|自分のターン
E-004,event,友情のカレー,,,5,A,none,,,自分と相手のMPを0にする。※MPが1以上のとき、この効果は「MPをへらす」効果としてあつかう。,,,友達の助けを得て清麿は、究極のカレーを作り上げる?,LEVEL:1,https://w.atwiki.jp/zatchbell/pages/352.html,イベント　MP5|自分のターン
E-005,event,鈴芽のお見舞い,,,0,A,none,,,コインを2回投げる。●オモテが2回出たら、自分の魔本を2枚もどす。●オモテが1回、ウラが1回出たら、効果はない。●ウラが2回出たら、自分の魔本を2枚めくる。,,,泣き虫みかちゃん、ほほえみいよちゃん、感激なっちゃんよ!,LEVEL:1|TBB1,https://www27.atwiki.jp/zatchbell/pages/353.html,イベント　MP0|自分のターン
E-006,event,秋山勇太,,,0,A,none,,,自分の魔物を1体選ぶ。コインを投げる。オモテならその魔物を「健康状態」にする。ウラならこのターン中、その魔物の魔力を+1000する(【ステイ】)。,,,清麿が入院した病院で同室だった。治りが遅いのを気にしている。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/354.html,イベント　MP0|自分のターン
E-007,event,木山つくし,,,1,A,none,,,自分の「負傷状態」の魔物1体を選び、「健康状態」にする。,,,モチノキ町立植物園の管理人。,LEVEL:1,https://www27.atwiki.jp/zatchbell/pages/355.html,イベント　MP1|自分のターン
E-008,event,水野鈴芽,,,0,A,none,,,【ステイ】このターン中、自分も相手もパートナーの効果を使えない。,,,清麿のクラスメイトで、よき理解者。,LEVEL:1　Rパック・自販機|LEVEL:1　Nスターター,https://w.atwiki.jp/zatchbell/pages/356.html,イベント　MP0|自分のターン
E-009,event,やさしい王様,,,3,A,none,,,【ステイ】自分の魔物1体を選ぶ。このターン中、その魔物の魔力を+3000する。,,,コルルが消えてゆくとき、とても悔しかったのだ!,LEVEL:1　Rパック・自販機|LEVEL:1　Nスターター,https://w.atwiki.jp/zatchbell/pages/357.html,イベント　MP3|自分のターン
E-010,event,やさしい清麿,,,3,A,none,,,【スタンバイ】相手の「このカードが場にある→」効果ではないパートナー1枚を選ぶ。このターン中1回だけ、そのパートナーの効果を、自分のものとして使うことができる(「このカードを捨て札にする→」効果を使っても、相手のパートナーは捨て札にはならない)。,,,ブリを頭からばりばり食べる、やさしい清麿。その正体とは･･･,LEVEL:1　Rパック・自販機|LEVEL:1　Nスターター,https://w.atwiki.jp/zatchbell/pages/358.html,イベント　MP3|自分のターン
